cid|client_name|chatwoot_account_name|cutoff_day|period_start|status|alerta|conversations_total|messages_total|customer_messages_total|outgoing_messages_total|avg_messages_per_conversation|contracted_inboxes_count|observed_inboxes_count|active_inboxes_count|inactive_inboxes_count|contracted_messages_monthly|contracted_agents|pct_uso|uso_rango|base_medicion|pct_uso_bolsa|prev_messages_total|crecimiento_pct|tendencia|tier|last_activity_at
165475|KINEOUMF|Call Center KINEO|1|2026-06-02|operational_error|crecimiento|125|1315|600|715|10.52|1|2|0|1|0|2|657.5|100+|agentes|~|~|~|sin_historico|~|2026-07-01
7|ETicket|eticket México|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|2|0|2|~|22|0|0-25|agentes|~|0|~|sin_historico|~|~
7|ETicket|eticket México|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|2|0|2|~|22|0|0-25|agentes|~|330|-100|baja|~|~
177531|DENTAL GOMEZ FARIAS|Deposito Dental Gomez Farias|1|2026-06-02|usage_alert|crecimiento|125|2230|1071|1159|17.84|1|13|0|1|0|5|446|100+|agentes|~|~|~|sin_historico|~|2026-07-01
164444|Comaudi Industrial|Comaudi Industrial|25|2026-07-26|ok|crecimiento|111|2297|1032|1265|20.69|~|2|~|~|0|2|1148.5|100+|agentes|~|1632|40.7|sube|~|~
164444|Comaudi Industrial|Comaudi Industrial|1|2026-06-02|usage_alert|crecimiento|125|1632|654|978|13.06|1|2|0|1|0|2|816|100+|agentes|~|~|~|sin_historico|~|2026-07-01
168741|Grupo Suma|GRUPO SUMA|25|2026-07-26|ok|crecimiento|242|6320|3223|3097|26.12|~|1|~|~|0|10|632|100+|agentes|~|1338|372.3|sube|~|~
168741|Grupo Suma|GRUPO SUMA|1|2026-06-02|operational_error|crecimiento|125|1338|657|681|10.7|1|1|0|1|0|10|133.8|100+|agentes|~|~|~|sin_historico|~|2026-07-01
130723|GRUPO TORRES CORZO|Grupo Torres Corzo|1|2026-07-02|ok|crecimiento|13179|169931|50386|119545|12.89|1|130|~|~|0|0|~|sin_plan|tendencia|~|723|23403.6|sube|C|~
130723|GRUPO TORRES CORZO|Grupo Torres Corzo|1|2026-06-02|operational_error|ok|125|723|183|540|5.78|1|130|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|2026-07-01
130723|GRUPO TORRES CORZO|GTC Soporte|1|2026-07-02|ok|crecimiento|42|5011|2544|2467|119.31|1|2|~|~|0|0|~|sin_plan|tendencia|~|723|593.1|sube|AA|~
130723|GRUPO TORRES CORZO|GTC Soporte|1|2026-06-02|operational_error|ok|5|18|7|11|3.6|1|2|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|2026-07-01
176205|Travelling|Travelling|1|2026-06-02|operational_error|bajo|125|172|32|140|1.38|1|21|0|1|0|17|10.1|0-25|hibrido|~|~|~|sin_historico|~|2026-07-01
151149|Beckro|Industrias Beckro|25|2026-07-26|ok|crecimiento|191|9245|3965|5280|48.4|~|5|~|~|0|2|4622.5|100+|agentes|~|1884|390.7|sube|~|~
151149|Beckro|Industrias Beckro|1|2026-06-02|usage_alert|crecimiento|125|1884|750|1134|15.07|1|5|0|1|0|2|942|100+|agentes|~|~|~|sin_historico|~|2026-07-01
32785|Tech People Soluciones|TechPeople Soporte Remoto|1|2026-08-02|ok|crecimiento|107|6002|3401|2601|56.09|~|1|0|1|~|5|1200.4|100+|agentes|~|0|~|sube|~|~
32785|Tech People Soluciones|TechPeople Soporte Remoto|1|2026-07-02|ok|crecimiento|0|0|0|0|0|~|1|0|1|~|5|0|0-25|agentes|~|1277|-100|baja|~|~
75037|Restaurante Madero|Madero Restaurante|1|2026-06-02|operational_error|bajo|0|0|0|0|0|1|0|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|~
130877|SC Automotriz|SC AUTOMOTRIZ|1|2026-08-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|~|~|sin_plan|tendencia|~|0|~|sin_historico|~|~
130877|SC Automotriz|SC AUTOMOTRIZ|1|2026-07-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|~|~|sin_plan|tendencia|~|561|-100|baja|~|~
121883|MY NEXT STEP|Universidad UDAVINCI Perú|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|1|~|~|0|0|~|sin_plan|tendencia|~|0|~|sin_historico|~|~
121883|MY NEXT STEP|Universidad UDAVINCI Perú|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|1|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|~
179183|T2 SEGUROS|T2 Seguros|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|2|~|~|0|2|0|0-25|agentes|~|7|-100|baja|~|~
179183|T2 SEGUROS|T2 Seguros|1|2026-06-02|usage_alert|bajo|1|7|3|4|7|1|2|0|1|0|2|3.5|0-25|agentes|~|~|~|sin_historico|~|2026-06-30
2094|Tech People|Techpeople|1|2026-08-02|ok|crecimiento|2399|13432|8178|5254|5.6|~|3|0|3|~|11|1221.1|100+|agentes|~|0|~|sube|~|~
2094|Tech People|Techpeople|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|3|0|3|~|11|0|0-25|agentes|~|45|-100|baja|~|~
159285|Genius Chat|Genius Chat|25|2026-07-26|ok|crecimiento|1926|29119|10237|18882|15.12|~|66|~|~|0|1|29119|100+|agentes|~|974|2889.6|sube|~|~
159285|Genius Chat|Genius Chat|1|2026-06-02|operational_error|crecimiento|125|974|265|709|7.79|1|67|0|1|0|1|974|100+|agentes|~|~|~|sin_historico|~|2026-07-01
175002|Corporativo grupo funerario San Javier|CORPORATIVO GRUPO FUNERAL SAN JAVIER|1|2026-08-02|ok|crecimiento|795|13021|1655|11366|16.38|~|1|0|1|~|3|4340.3|100+|agentes|~|0|~|sube|~|~
175002|Corporativo grupo funerario San Javier|CORPORATIVO GRUPO FUNERAL SAN JAVIER|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|1|0|1|~|3|0|0-25|agentes|~|1074|-100|baja|~|~
7|ETicket|eticket El Salvador|1|2026-08-02|ok|crecimiento|44|590|305|285|13.41|~|2|2|0|~|22|26.8|25-50|agentes|~|96|514.6|sube|~|~
7|ETicket|eticket El Salvador|1|2026-07-02|ok|mixto|10|96|43|53|9.6|~|2|1|1|~|22|4.4|0-25|agentes|~|0|~|sube|~|~
178133|Finsus Crédito|Finsus Crédito|1|2026-08-02|ok|mixto|6|32|15|17|5.33|~|3|1|2|~|24|1.3|0-25|agentes|~|12|166.7|sube|~|~
178133|Finsus Crédito|Finsus Crédito|1|2026-07-02|ok|mixto|2|12|6|6|6|~|3|1|2|~|24|0.5|0-25|agentes|~|0|~|sube|~|~
160755|GRUPO RIZO|Grupo Rizo|25|2026-07-26|ok|crecimiento|110|17467|8928|8539|158.79|~|6|~|~|0|7|2495.3|100+|agentes|~|2159|709|sube|~|~
160755|GRUPO RIZO|Grupo Rizo|1|2026-06-02|usage_alert|crecimiento|125|2159|959|1200|17.27|1|6|0|1|0|7|308.4|100+|agentes|~|~|~|sin_historico|~|2026-07-01
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|AM DESARROLLOS INMOBILIARIOS MAZATLAN|25|2026-07-26|ok|crecimiento|16|547|203|344|34.19|~|7|~|~|0|1|547|100+|agentes|~|812|-32.6|baja|~|~
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|AM DESARROLLOS INMOBILIARIOS MAZATLAN|1|2026-06-02|operational_error|crecimiento|103|812|246|566|7.88|1|7|0|1|0|1|812|100+|agentes|~|~|~|sin_historico|~|2026-07-01
167404|Equipos de Elevacion|Grupo Equielsa|1|2026-07-02|ok|crecimiento|4468|27987|11771|16216|6.26|1|5|~|~|0|9|3936.3|100+|agentes|~|419|6579.5|sube|A|~
167404|Equipos de Elevacion|Grupo Equielsa|1|2026-06-02|operational_error|ok|125|419|154|265|3.35|1|5|0|1|0|9|46.6|25-50|agentes|~|~|~|sin_historico|~|2026-07-01
147351|Renault Concordia Agencia del Sol|Concordia Automotriz|1|2026-08-02|ok|crecimiento|597|11714|4861|6853|19.62|~|12|9|3|~|6|1952.3|100+|hibrido|~|27|43285.2|sube|~|~
147351|Renault Concordia Agencia del Sol|Concordia Automotriz|1|2026-07-02|operational_error|operativo|5|27|11|16|5.4|~|12|1|11|~|6|4.5|0-25|hibrido|~|37|-27|plana|~|~
149651|Alianza Multimarca|Alianza Nacional Multimarca|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|2|~|~|0|20|0|0-25|agentes|~|0|~|sin_historico|~|~
149651|Alianza Multimarca|Alianza Nacional Multimarca|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|2|0|1|0|20|0|0-25|agentes|~|~|~|sin_historico|~|~
148385|Petroil - Prebiem Oceanica|Grupo Prebiem|1|2026-08-02|ok|crecimiento|10|868|498|370|86.8|~|1|0|1|2200|4|217|100+|hibrido|39.5|661|31.3|sube|~|~
148385|Petroil - Prebiem Oceanica|Grupo Prebiem|1|2026-07-02|ok|crecimiento|9|661|383|278|73.44|~|1|0|1|2200|4|165.3|100+|hibrido|30|730|-9.5|plana|~|~
149651|Alianza Multimarca|ANM Motors|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|1|~|~|0|20|0|0-25|agentes|~|0|~|sin_historico|~|~
149651|Alianza Multimarca|ANM Motors|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|1|0|1|0|20|0|0-25|agentes|~|~|~|sin_historico|~|~
157130|PerfumesFinos.mx|PerfumesFinos.mx|1|2026-06-02|usage_alert|crecimiento|125|1348|654|694|10.78|1|5|0|1|0|2|674|100+|agentes|~|~|~|sin_historico|~|2026-07-01
121883|MY NEXT STEP|EuroInnova Business School|25|2026-07-26|ok|bajo|1|3|3|0|3|~|4|~|~|0|0|~|sin_plan|tendencia|~|22|-86.4|baja|~|~
121883|MY NEXT STEP|EuroInnova Business School|1|2026-06-02|usage_alert|ok|2|22|21|1|11|1|4|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|2026-07-01
23459|RANCH MART|RANCH MART|25|2026-07-26|ok|crecimiento|1013|16017|6096|9921|15.81|~|8|~|~|5000|5|3203.4|100+|hibrido|320.3|1358|1079.5|sube|~|~
23459|RANCH MART|RANCH MART|1|2026-06-02|usage_alert|crecimiento|125|1358|529|829|10.86|1|8|0|1|5000|5|271.6|100+|hibrido|27.2|~|~|sin_historico|~|2026-07-01
161108|Grupo Gopar|GOPAR|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|5|~|~|2500|1|0|0-25|hibrido|0|0|~|sin_historico|~|~
161108|Grupo Gopar|GOPAR|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|5|0|1|2500|1|0|0-25|hibrido|0|~|~|sin_historico|~|~
158423|CLIMAHORRO|CLIMAHORRO|25|2026-07-26|usage_alert|bajo|0|0|0|0|0|~|1|~|~|0|2|0|0-25|agentes|~|0|~|sin_historico|~|~
158423|CLIMAHORRO|CLIMAHORRO|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|1|0|1|0|2|0|0-25|agentes|~|~|~|sin_historico|~|~
179822|Arkansas State University CQ|ARKANSAS STATE UNIVERSITY|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|40|~|~|~|31|0|0-25|hibrido|~|0|~|sin_historico|~|~
179822|Arkansas State University CQ|ARKANSAS STATE UNIVERSITY|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|40|~|~|~|31|0|0-25|hibrido|~|1642|-100|baja|~|~
180640|FINSUS CRÉDITO AL CONSUMO|FINSUS Crédito al Consumo|1|2026-06-02|usage_alert|ok|125|907|459|448|7.26|1|11|0|1|0|24|37.8|25-50|agentes|~|~|~|sin_historico|~|2026-07-01
52196|CH Desarrollos|CREAR HOGARES|1|2026-06-02|usage_alert|ok|125|965|331|634|7.72|1|2|0|1|0|15|64.3|50-75|agentes|~|~|~|sin_historico|~|2026-07-01
165379|FINSUS COBRANZA|Testing - Finsus Cobranza|1|2026-08-02|ok|bajo|3|3|3|0|1|~|6|1|5|~|7|0.4|0-25|agentes|~|3|0|plana|~|~
165379|FINSUS COBRANZA|Testing - Finsus Cobranza|1|2026-07-02|ok|mixto|3|3|3|0|1|~|6|1|5|~|7|0.4|0-25|agentes|~|2|50|sube|~|~
52947|Vanzar Link|Vanzar Link|25|2026-07-26|ok|crecimiento|4490|76428|35098|41330|17.02|~|10|~|~|0|8|9553.5|100+|agentes|~|1848|4035.7|sube|~|~
52947|Vanzar Link|Vanzar Link|1|2026-06-02|usage_alert|crecimiento|125|1848|662|1186|14.78|1|10|0|1|0|8|231|100+|agentes|~|~|~|sin_historico|~|2026-07-01
163136|CLUB DE BANQUEROS|CLUB BANQUEROS|1|2026-06-02|usage_alert|ok|125|1327|579|748|10.62|1|11|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|2026-07-01
7|ETicket|eticket Guatemala|1|2026-08-02|ok|crecimiento|718|6993|4037|2956|9.74|~|2|2|0|~|22|317.9|100+|agentes|~|48|14468.8|sube|~|~
7|ETicket|eticket Guatemala|1|2026-07-02|ok|crecimiento|8|48|14|34|6|~|2|1|1|~|22|2.2|0-25|agentes|~|397|-87.9|baja|~|~
7|ETicket|e-ticket Dev Test|1|2026-08-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|22|0|0-25|agentes|~|0|~|sin_historico|~|~
7|ETicket|e-ticket Dev Test|1|2026-07-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|22|0|0-25|agentes|~|0|~|sin_historico|~|~
162545|ODONTOPREV|ODONTOPREV|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|17|0|17|25000|25|0|0-25|hibrido|0|261|-100|baja|~|~
162545|ODONTOPREV|ODONTOPREV|1|2026-07-02|operational_error|operativo|12|261|157|104|21.75|~|17|2|15|25000|25|10.4|0-25|hibrido|1|1883|-86.1|baja|~|~
165379|FINSUS COBRANZA|Finsus Cobranza|1|2026-08-02|ok|crecimiento|1889|30658|4480|26178|16.23|~|36|~|~|~|7|4379.7|100+|agentes|~|0|~|sube|~|~
165379|FINSUS COBRANZA|Finsus Cobranza|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|36|~|~|~|7|0|0-25|agentes|~|866|-100|baja|~|~
95890|Petroil|Petroil Mazalife|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|10|0|10|~|~|~|sin_plan|tendencia|~|13|-100|baja|~|~
95890|Petroil|Petroil Mazalife|1|2026-07-02|operational_error|operativo|12|13|0|13|1.08|~|10|1|9|~|~|~|sin_plan|tendencia|~|1624|-99.2|baja|~|~
29132|Centro Mexicano de Psicologia Integrativa CEMEPI|CEMEPI|1|2026-06-02|usage_alert|crecimiento|125|2020|627|1393|16.16|1|7|0|1|0|8|252.5|100+|hibrido|~|~|~|sin_historico|~|2026-07-01
7|ETicket|eticket Costa Rica|1|2026-08-02|usage_alert|bajo|0|0|0|0|0|~|1|0|1|~|22|0|0-25|agentes|~|0|~|sin_historico|~|~
7|ETicket|eticket Costa Rica|1|2026-07-02|usage_alert|bajo|0|0|0|0|0|~|1|0|1|~|22|0|0-25|agentes|~|0|~|sin_historico|~|~
7|ETicket|eticket Panama|1|2026-08-02|ok|crecimiento|103|701|425|276|6.81|~|2|2|0|~|22|31.9|25-50|agentes|~|346|102.6|sube|~|~
7|ETicket|eticket Panama|1|2026-07-02|ok|mixto|52|346|208|138|6.65|~|2|1|1|~|22|15.7|0-25|agentes|~|75|361.3|sube|~|~
95890|Petroil - Centro de Ayuda TI|PETROIL ASKE|1|2026-08-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|~|~|sin_plan|tendencia|~|0|~|sin_historico|~|~
95890|Petroil - Centro de Ayuda TI|PETROIL ASKE|1|2026-07-02|usage_alert|bajo|0|0|0|0|0|~|2|0|2|~|~|~|sin_plan|tendencia|~|0|~|sin_historico|~|~
95890|Petroil|Petroil MKT|1|2026-08-02|ok|crecimiento|233|3625|2270|1355|15.56|~|2|1|1|1500|3|1208.3|100+|hibrido|241.7|312|1061.9|sube|~|~
95890|Petroil|Petroil MKT|1|2026-07-02|operational_error|operativo|97|312|236|76|3.22|~|2|1|1|1500|3|104|100+|hibrido|20.8|13|2300|sube|~|~
160618|FullOffice.com|Fulloffice|1|2026-08-02|ok|crecimiento|1521|7334|4356|2978|4.82|~|7|2|5|~|5|1466.8|100+|agentes|~|8|91575|sube|~|~
160618|FullOffice.com|Fulloffice|1|2026-07-02|operational_error|operativo|3|8|4|4|2.67|~|7|2|5|~|5|1.6|0-25|agentes|~|1824|-99.6|baja|~|~
172782|PULPI|PULPI (FINSUS)|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|4|0|4|27000|14|0|0-25|hibrido|0|1|-100|baja|~|~
172782|PULPI|PULPI (FINSUS)|1|2026-07-02|operational_error|operativo|0|1|0|1|0|~|4|1|3|27000|14|0.1|0-25|hibrido|0|1965|-99.9|baja|~|~
6283|PIXEL WINDOW|PIXEL WINDOW|28|2026-07-29|ok|crecimiento|62|806|430|376|13|~|2|~|~|0|3|268.7|100+|hibrido|~|73|1004.1|sube|~|~
6283|PIXEL WINDOW|PIXEL WINDOW|1|2026-06-02|usage_alert|bajo|8|73|31|42|9.13|1|2|0|1|0|3|24.3|0-25|hibrido|~|~|~|sin_historico|~|2026-06-30
7|ETicket|eticket Honduras|1|2026-08-02|operational_error|operativo|442|1053|1053|0|2.38|~|2|1|1|~|22|47.9|25-50|agentes|~|676|55.8|sube|~|~
7|ETicket|eticket Honduras|1|2026-07-02|ok|crecimiento|243|676|504|172|2.78|~|2|1|1|~|22|30.7|25-50|agentes|~|464|45.7|sube|~|~
130877|3DX|SC SOCIEDAD|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|1|0|1|~|2|0|0-25|agentes|~|0|~|sin_historico|~|~
130877|3DX|SC SOCIEDAD|1|2026-07-02|ok|crecimiento|0|0|0|0|0|~|1|0|1|~|2|0|0-25|agentes|~|1395|-100|baja|~|~
164788|Berkssòn|BERKSSÒN|15|2026-07-16|ok|crecimiento|12|269|117|152|22.42|1|1|~|~|0|3|113.5|100+|agentes|~|708|-62|baja|A|~
164788|Berkssòn|BERKSSÒN|15|2026-06-16|ok|crecimiento|62|708|258|450|11.42|1|1|1|0|0|3|236|100+|agentes|~|323|119.2|sube|~|2026-07-15
58545|labsus lab|LABSUS|15|2026-07-16|ok|crecimiento|339|6940|3317|3623|20.47|1|4|~|~|0|3|1096.4|100+|agentes|~|122|5588.5|sube|AA|~
58545|labsus lab|LABSUS|15|2026-06-16|usage_alert|crecimiento|8|122|56|66|15.25|1|4|0|1|0|3|40.7|25-50|agentes|~|0|~|sube|~|2026-07-16
79326|AUTEK MAQUINARIA|DEMO - AUTEK MAQUINARIA|15|2026-07-16|usage_alert|bajo|0|0|0|0|0|1|3|~|~|0|0|~|sin_plan|tendencia|~|0|~|sin_historico|A|~
79326|AUTEK MAQUINARIA|DEMO - AUTEK MAQUINARIA|15|2026-06-16|usage_alert|bajo|0|0|0|0|0|1|3|0|1|0|0|~|sin_plan|tendencia|~|0|~|sin_historico|~|~
149376|VISION100|Vision 100|15|2026-07-16|ok|crecimiento|4832|46207|19347|26860|9.56|1|9|~|~|0|8|7311.2|100+|agentes|~|1858|2386.9|sube|A|~
149376|VISION100|Vision 100|15|2026-06-16|usage_alert|crecimiento|185|1858|732|1126|10.04|1|9|0|1|0|8|232.2|100+|agentes|~|0|~|sube|~|2026-07-16
97357|Clinica Digital|Clinica Digital|17|2026-07-18|ok|crecimiento|201|24902|22658|2244|123.89|1|8|~|~|0|10|1180.2|100+|hibrido|~|4512|451.9|sube|AA|~
97357|Clinica Digital|Clinica Digital|17|2026-06-18|usage_alert|crecimiento|371|4512|2462|2050|12.16|1|8|0|1|0|10|451.2|100+|hibrido|~|0|~|sube|~|2026-07-18
176219|LI FINANCIERA|LI Financiera|17|2026-07-18|usage_alert|bajo|0|0|0|0|0|1|2|~|~|48|1|0|0-25|hibrido|0|0|~|sin_historico|C|~
176219|LI FINANCIERA|LI Financiera|17|2026-06-18|usage_alert|bajo|0|0|0|0|0|1|2|0|1|48|1|0|0-25|hibrido|0|0|~|sin_historico|~|~
151372|MxBoxing|Mxboxing|17|2026-07-18|usage_alert|bajo|0|0|0|0|0|1|0|~|~|0|1|0|0-25|agentes|~|0|~|sin_historico|B|~
151372|MxBoxing|Mxboxing|17|2026-06-18|operational_error|bajo|0|0|0|0|0|1|0|0|1|0|1|0|0-25|agentes|~|0|~|sin_historico|~|~
166648|PSI Division Latinoamérica|PSI Latinoamerica|18|2026-07-19|usage_alert|bajo|0|0|0|0|0|1|3|~|~|0|3|0|0-25|agentes|~|0|~|sin_historico|A|~
166648|PSI Division Latinoamérica|PSI Latinoamerica|18|2026-06-19|usage_alert|bajo|0|0|0|0|0|1|3|0|1|0|3|0|0-25|agentes|~|0|~|sin_historico|~|~
178565|LEARNBOX|Chat BNA|18|2026-07-19|ok|crecimiento|1696|15764|5142|10622|9.29|1|3|~|~|0|8|2494.3|100+|agentes|~|6297|150.3|sube|A|~
178565|LEARNBOX|Chat BNA|18|2026-06-19|usage_alert|crecimiento|497|6297|1820|4477|12.67|1|3|0|1|0|8|787.1|100+|agentes|~|0|~|sube|~|2026-07-19
177192|Virket CHAT|Virket|18|2026-07-19|ok|crecimiento|4|460|279|181|115|1|2|~|~|0|4|145.6|100+|agentes|~|128|259.4|sube|A|~
177192|Virket CHAT|Virket|18|2026-06-19|usage_alert|ok|12|128|52|76|10.67|1|2|0|1|0|4|32|25-50|agentes|~|690|-81.4|baja|~|2026-07-17
112607|HomiRent|Homi Rent|19|2026-07-20|ok|crecimiento|6384|163063|80114|82949|25.54|1|10|~|~|0|4|51602.2|100+|hibrido|~|0|~|sube|A|~
112607|HomiRent|Homi Rent|19|2026-06-20|usage_alert|bajo|0|0|0|0|0|1|10|0|1|0|4|0|0-25|hibrido|~|0|~|sin_historico|~|~
149663|SIGG CONTROL ABSOLUTO|SIGG OIL & GAS SOLUTIONS|19|2026-07-20|ok|bajo|1|7|4|3|7|1|2|~|~|0|2|4.4|0-25|agentes|~|38|-81.6|baja|A|~
149663|SIGG CONTROL ABSOLUTO|SIGG OIL & GAS SOLUTIONS|19|2026-06-20|usage_alert|bajo|2|38|16|22|19|1|2|0|1|0|2|19|0-25|agentes|~|0|~|sube|~|2026-07-15
168973|GRUPO FRISA|Grupo FRISA|19|2026-07-20|ok|crecimiento|1604|17666|6575|11091|11.01|1|2|~|~|0|19|1081.2|100+|agentes|~|5472|222.8|sube|C|~
168973|GRUPO FRISA|Grupo FRISA|19|2026-06-20|usage_alert|crecimiento|495|5472|1765|3707|11.05|1|2|0|1|0|19|288|100+|agentes|~|0|~|sube|~|2026-07-20
156690|Médica Santa Carmen|MÉDICA SANTA CARMEN|19|2026-07-20|ok|bajo|38|53|42|11|1.39|1|5|~|~|0|0|~|sin_plan|tendencia|~|93|-43|baja|AA|~
156690|Médica Santa Carmen|MÉDICA SANTA CARMEN|19|2026-06-20|usage_alert|ok|46|93|64|29|2.02|1|5|0|1|0|0|~|sin_plan|tendencia|~|74|25.7|plana|~|2026-07-20
76737|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|19|2026-07-20|usage_alert|bajo|0|0|0|0|0|1|0|~|~|0|3|0|0-25|agentes|~|4875|-100|baja|B|~
76737|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|19|2026-06-20|operational_error|crecimiento|495|4875|1887|2988|9.85|1|3|0|1|0|3|1625|100+|agentes|~|0|~|sube|~|2026-07-20
