cid|client_name|inbox_id|inbox_name|inbox_channel_type|is_contracted|is_active_in_period|conversations_count|messages_count|customer_messages_count|outgoing_messages_count|pct_account_messages|reconciliation_status
180640|FINSUS CRÉDITO AL CONSUMO|4004|Cobranza KMASI|~|N|S|1|2|~|~|~|~
180640|FINSUS CRÉDITO AL CONSUMO|0|~|~|S|N|0|0|~|~|~|~
52196|CH Desarrollos|2763|Crear Hogares|~|N|S|77|621|~|~|~|~
52196|CH Desarrollos|2904|CH Desarrollos|~|N|S|48|344|~|~|~|~
52196|CH Desarrollos|0|~|~|S|N|0|0|~|~|~|~
52947|Vanzar Link|1094|Paola Pintor WA|~|N|S|60|821|~|~|~|~
52947|Vanzar Link|1093|Liz|~|N|S|41|627|~|~|~|~
52947|Vanzar Link|785|Alejandra WA|~|N|S|7|108|~|~|~|~
52947|Vanzar Link|1092|Carolina WA|~|N|S|17|292|~|~|~|~
52947|Vanzar Link|0|~|~|S|N|0|0|~|~|~|~
163136|CLUB DE BANQUEROS|3093|Club de Banqueros|~|N|S|9|45|~|~|~|~
163136|CLUB DE BANQUEROS|3094|Restaurante Guardiola|~|N|S|3|12|~|~|~|~
163136|CLUB DE BANQUEROS|3930|Club de Banqueros de México|~|N|S|20|122|~|~|~|~
163136|CLUB DE BANQUEROS|2990|Restaurante Guardiola|~|N|S|2|18|~|~|~|~
163136|CLUB DE BANQUEROS|3136|Clubb|~|N|S|8|39|~|~|~|~
163136|CLUB DE BANQUEROS|2991|Club de banqueros|~|N|S|83|1091|~|~|~|~
163136|CLUB DE BANQUEROS|0|~|~|S|N|0|0|~|~|~|~
29132|Centro Mexicano de Psicologia Integrativa CEMEPI|3575|CEMEPI Terapias Psicológicas|~|N|S|109|1994|~|~|~|~
29132|Centro Mexicano de Psicologia Integrativa CEMEPI|2970|Correo empresarial CEMEPI|~|N|S|16|26|~|~|~|~
29132|Centro Mexicano de Psicologia Integrativa CEMEPI|0|~|~|S|N|0|0|~|~|~|~
6283|PIXEL WINDOW|2498|WA API 5512041451|~|N|S|8|73|~|~|~|~
6283|PIXEL WINDOW|0|~|~|S|N|0|0|~|~|~|~
79648|IML|631|IML Varices - 8124748822|~|N|S|4|34|~|~|~|~
79648|IML|630|POST VENTA- 8124748821|~|N|S|1|2|~|~|~|~
79648|IML|0|~|~|S|N|0|0|~|~|~|~
137678|Corporativo GAES|0|~|~|S|N|0|0|~|~|~|~
171225|Plennia Global|0|~|~|S|N|0|0|~|~|~|~
230|Previsión Legal|1909|WhatsApp API 5512041224|~|N|S|58|737|~|~|~|~
230|Previsión Legal|0|~|~|S|N|0|0|~|~|~|~
61256|Smart Plan Agente de Seguros y Fianzas|3507|Administración y Cobranza|~|N|S|24|343|~|~|~|~
61256|Smart Plan Agente de Seguros y Fianzas|3666|Smart Plan Agente de Seguros y de Fianzas WhatsApp|~|N|S|1|13|~|~|~|~
61256|Smart Plan Agente de Seguros y Fianzas|3498|Siniestros|~|N|S|17|276|~|~|~|~
61256|Smart Plan Agente de Seguros y Fianzas|0|~|~|S|N|0|0|~|~|~|~
15894|Operati|1715|Escritorio 24-7 Acciona|~|N|S|1|20|~|~|~|~
15894|Operati|1706|Escritorio 24-7 General|~|N|S|32|579|~|~|~|~
15894|Operati|0|~|~|S|N|0|0|~|~|~|~
150903|CYAN MEDICA|2867|Whats Cyan|~|N|S|80|1053|~|~|~|~
150903|CYAN MEDICA|0|~|~|S|N|0|0|~|~|~|~
125600|PVnube|0|~|~|S|N|0|0|~|~|~|~
1192|Reference Check|285|ReferenceCheck Mx CDMX|~|N|S|17|172|~|~|~|~
1192|Reference Check|384|Reference Real Estate|~|N|S|5|32|~|~|~|~
1192|Reference Check|0|~|~|S|N|0|0|~|~|~|~
163560|Repemex|0|~|~|S|N|0|0|~|~|~|~
46962|Oceánica|0|~|~|S|N|0|0|~|~|~|~
157116|Recotecnia|0|~|~|S|N|0|0|~|~|~|~
109846|IMA NIPSA|0|~|~|S|N|0|0|~|~|~|~
162333|Kayrot|0|~|~|S|N|0|0|~|~|~|~
48866|BATTERY MART|0|~|~|S|N|0|0|~|~|~|~
79648|IML|0|~|~|S|N|0|0|~|~|~|~
172955|Yapp|2975|Recordatorios y cobranza|~|N|S|46|628|~|~|~|~
172955|Yapp|0|~|~|S|N|0|0|~|~|~|~
162513|Pronto LATAM|3830|~|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3314|A SocioWA-1|~|S|S|14|204|~|~|~|~
26850|Socio en ti|2688|Alarmas Profesionales en Puebla|~|S|N|0|0|~|~|~|~
26850|Socio en ti|2689|Socioenti|~|S|N|0|0|~|~|~|~
26850|Socio en ti|2690|Reparacion de Computadoras a Domicilio|~|S|N|0|0|~|~|~|~
26850|Socio en ti|2735|Leonel-Socio-WA|~|S|S|35|598|~|~|~|~
26850|Socio en ti|3147|Alarmas Vecinales en Puebla|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3148|FB Com Al Vec Pue|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3149|Alarmas en Puebla|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3151|FB Com Al Prof Pue|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3152|Software y Equipo Punto de Venta|~|S|N|0|0|~|~|~|~
26850|Socio en ti|3150|FB Com Al Puebla|~|S|N|0|0|~|~|~|~
127919|Kinney Bonded Warehouse|3021|Ventas KBW Supply|~|N|S|58|766|~|~|~|~
127919|Kinney Bonded Warehouse|2462|Gerencia de ventas 8127461219|~|N|S|29|521|~|~|~|~
127919|Kinney Bonded Warehouse|0|~|~|S|N|0|0|~|~|~|~
177074|EKTARIS GRUPO INMOBILIARIO|3453|EKTARIS MERIDA|~|N|S|111|1732|~|~|~|~
177074|EKTARIS GRUPO INMOBILIARIO|0|~|~|S|N|0|0|~|~|~|~
11646|Grupo SERVEX|108|5589939313|~|N|S|115|1555|~|~|~|~
11646|Grupo SERVEX|0|~|~|S|N|0|0|~|~|~|~
161227|GRUPO ALVI|3615|Grupo Alvi - Whattsapp|~|N|S|34|553|~|~|~|~
161227|GRUPO ALVI|0|~|~|S|N|0|0|~|~|~|~
127288|PC ONE MEXICO|0|~|~|S|N|0|0|~|~|~|~
114019|EMPODERA SALUD|0|~|~|S|N|0|0|~|~|~|~
170333|HOTEL REAL DE MINAS SAN MIGUEL DE ALLENDE|3077|Hotel Real de Minas San Miguel Allende|~|N|S|19|102|~|~|~|~
170333|HOTEL REAL DE MINAS SAN MIGUEL DE ALLENDE|3078|Hotel Hacienda El Santuario|~|N|S|20|170|~|~|~|~
170333|HOTEL REAL DE MINAS SAN MIGUEL DE ALLENDE|0|~|~|S|N|0|0|~|~|~|~
130203|Viajes Express|0|~|~|S|N|0|0|~|~|~|~
148881|Médica El Marqués|3979|Médica El Marqués|~|N|S|2|20|~|~|~|~
148881|Médica El Marqués|3980|WA Business|~|N|S|53|842|~|~|~|~
148881|Médica El Marqués|0|~|~|S|N|0|0|~|~|~|~
177089|iELO|0|~|~|S|N|0|0|~|~|~|~
80394|queplan|213|3333373712|~|N|S|42|627|~|~|~|~
80394|queplan|212|5550150661|~|N|S|1|1|~|~|~|~
80394|queplan|214|3333018466|~|N|S|66|958|~|~|~|~
80394|queplan|0|~|~|S|N|0|0|~|~|~|~
13647|AJ PENNY BLINDS|75|Contacto Sur|~|N|S|2|38|~|~|~|~
13647|AJ PENNY BLINDS|79|Contacto Foráneos|~|N|S|21|357|~|~|~|~
13647|AJ PENNY BLINDS|77|Contacto Oriente|~|N|S|6|109|~|~|~|~
13647|AJ PENNY BLINDS|73|Contacto Centro|~|N|S|22|378|~|~|~|~
13647|AJ PENNY BLINDS|0|~|~|S|N|0|0|~|~|~|~
171458|StratoLegal|2795|Strato Legal|~|N|S|5|85|~|~|~|~
171458|StratoLegal|0|~|~|S|N|0|0|~|~|~|~
173790|Ferreteria Osito|0|~|~|S|N|0|0|~|~|~|~
31104|Colegio San Charbel|2931|Colegio San Charbel Chihuahua|~|N|S|16|42|~|~|~|~
31104|Colegio San Charbel|4107|MARKING PREESCOLAR|~|N|S|107|871|~|~|~|~
31104|Colegio San Charbel|0|~|~|S|N|0|0|~|~|~|~
176438|ENCAMINO Chat|4134|Soporte Encamino|~|N|S|1|14|~|~|~|~
176438|ENCAMINO Chat|3300|Estafeta - Encamino|~|N|S|5|49|~|~|~|~
176438|ENCAMINO Chat|0|~|~|S|N|0|0|~|~|~|~
171309|DOSATEC|2887|Luz|~|N|S|14|199|~|~|~|~
171309|DOSATEC|3038|Dosatec CORREO|~|N|S|5|10|~|~|~|~
171309|DOSATEC|2714|ERIKA ADMON|~|N|S|17|250|~|~|~|~
171309|DOSATEC|2889|Samuel|~|N|S|29|477|~|~|~|~
171309|DOSATEC|2700|Ventas|~|N|S|33|401|~|~|~|~
171309|DOSATEC|0|~|~|S|N|0|0|~|~|~|~
142996|Ecocentenario|983|4422485341|~|N|S|5|67|~|~|~|~
142996|Ecocentenario|0|~|~|S|N|0|0|~|~|~|~
159123|MUMBII|0|~|~|S|N|0|0|~|~|~|~
57100|Soldadoras Miller México|122|3315800609|~|N|S|5|63|~|~|~|~
57100|Soldadoras Miller México|124|8124740468|~|N|S|11|134|~|~|~|~
57100|Soldadoras Miller México|123|4774540172|~|N|S|3|34|~|~|~|~
57100|Soldadoras Miller México|125|4424541747|~|N|S|4|49|~|~|~|~
57100|Soldadoras Miller México|117|5589509553|~|N|S|13|165|~|~|~|~
57100|Soldadoras Miller México|126|2224540243|~|N|S|3|50|~|~|~|~
57100|Soldadoras Miller México|0|~|~|S|N|0|0|~|~|~|~
79070|SUNDECK PERSIANAS Y DECORACIONES|3362|SAC Sundeck|~|N|S|51|837|~|~|~|~
79070|SUNDECK PERSIANAS Y DECORACIONES|3363|Asesoria|~|N|S|4|28|~|~|~|~
79070|SUNDECK PERSIANAS Y DECORACIONES|3364|David Rojas|~|N|S|40|560|~|~|~|~
79070|SUNDECK PERSIANAS Y DECORACIONES|0|~|~|S|N|0|0|~|~|~|~
144165|Auto Ideal Chevrolet|1691|Facebook Chevrolet AUTO IDEAL 2°|~|N|S|2|22|~|~|~|~
144165|Auto Ideal Chevrolet|1695|Whatsapp QR (833) 4430212|~|N|S|12|93|~|~|~|~
144165|Auto Ideal Chevrolet|0|~|~|S|N|0|0|~|~|~|~
166208|TECNOLOGIA INTELIGENTE DH|2492|Demo Tecnología|~|S|N|0|0|~|~|~|~
166208|TECNOLOGIA INTELIGENTE DH|2802|Domotica Home|~|S|S|1|2|~|~|~|~
166208|TECNOLOGIA INTELIGENTE DH|2805|www.domoticahome.com.mx|~|S|N|0|0|~|~|~|~
166208|TECNOLOGIA INTELIGENTE DH|2799|Tecnología Inteligente DH|~|S|N|0|0|~|~|~|~
152702|Fomento Integral|2465|Studioled|~|S|S|1|3|~|~|~|~
152702|Fomento Integral|2499|WA API 5588547964|~|S|S|11|67|~|~|~|~
178294|ISESA GENERADORES|3590|Número empresarial Callpicker|~|S|S|211|1966|~|~|~|~
178294|ISESA GENERADORES|3611|ISESA GENERADORES|~|S|N|0|0|~|~|~|~
178294|ISESA GENERADORES|3636|ISESA|~|S|S|35|87|~|~|~|~
178294|ISESA GENERADORES|3637|MAIL GENEMEX|~|S|S|23|48|~|~|~|~
178294|ISESA GENERADORES|3649|Generadores México|~|S|S|3|13|~|~|~|~
178294|ISESA GENERADORES|3994|Genemexip|~|S|N|0|0|~|~|~|~
178294|ISESA GENERADORES|3993|ISESA Generadores|~|S|S|166|987|~|~|~|~
178294|ISESA GENERADORES|3756|Genemex IP WhatsApp|~|S|S|38|340|~|~|~|~
165649|Nexxo Real Estate|2324|WhatsApp|~|S|N|0|0|~|~|~|~
168515|Point City Hotel|2640|Point City Conmutador|~|N|S|36|506|~|~|~|~
168515|Point City Hotel|2679|Hotel Leticia|~|N|S|19|249|~|~|~|~
168515|Point City Hotel|4094|HN Hotel|~|N|S|56|560|~|~|~|~
168515|Point City Hotel|2619|Point City Hotel|~|N|S|27|434|~|~|~|~
168515|Point City Hotel|0|~|~|S|N|0|0|~|~|~|~
164788|Berkssòn|3296|Whatsapp|~|S|S|62|708|~|~|~|~
58545|labsus lab|245|Labsus - Laboratorio Clínico Facebook|~|N|S|2|23|~|~|~|~
58545|labsus lab|244|Labsus-8661906007|~|N|S|6|99|~|~|~|~
58545|labsus lab|0|~|~|S|N|0|0|~|~|~|~
79326|AUTEK MAQUINARIA|0|~|~|S|N|0|0|~|~|~|~
149376|VISION100|2938|Visión100 Web WA|~|N|S|131|1038|~|~|~|~
149376|VISION100|2995|WA FB Ojos sin Diabetes|~|N|S|11|179|~|~|~|~
149376|VISION100|2998|WA FB DH V100|~|N|S|13|170|~|~|~|~
149376|VISION100|4021|WA ALMACEN COMPRAS 1|~|N|S|30|471|~|~|~|~
149376|VISION100|0|~|~|S|N|0|0|~|~|~|~
97357|Clinica Digital|708|Clinica Digital 5589507045|~|N|S|2|8|~|~|~|~
97357|Clinica Digital|706|Sandi Care 5589507013|~|N|S|7|70|~|~|~|~
97357|Clinica Digital|711|Clinica Digital 5589938445|~|N|S|25|176|~|~|~|~
97357|Clinica Digital|710|Clinica Digital 5589507026|~|N|S|286|3745|~|~|~|~
97357|Clinica Digital|3665|Red de consultorios WA API|~|N|S|51|513|~|~|~|~
97357|Clinica Digital|0|~|~|S|N|0|0|~|~|~|~
176219|LI FINANCIERA|0|~|~|S|N|0|0|~|~|~|~
151372|MxBoxing|0|~|~|S|N|0|0|~|~|~|~
166648|PSI Division Latinoamérica|0|~|~|S|N|0|0|~|~|~|~
178565|LEARNBOX|4131|WA API BNA|~|N|S|463|5838|~|~|~|~
178565|LEARNBOX|4028|Barra Nacional de Abogados Oficial.|~|N|S|19|206|~|~|~|~
178565|LEARNBOX|3764|Whatsapp BNA|~|N|S|15|253|~|~|~|~
178565|LEARNBOX|0|~|~|S|N|0|0|~|~|~|~
177192|Virket CHAT|3454|Ventas Clickbot|~|N|S|12|128|~|~|~|~
177192|Virket CHAT|0|~|~|S|N|0|0|~|~|~|~
112607|HomiRent|0|~|~|S|N|0|0|~|~|~|~
149663|SIGG CONTROL ABSOLUTO|1271|5589509455 WA API|~|N|S|2|38|~|~|~|~
149663|SIGG CONTROL ABSOLUTO|0|~|~|S|N|0|0|~|~|~|~
168973|GRUPO FRISA|4192|CC Quintana Roo|~|N|S|1|2|~|~|~|~
168973|GRUPO FRISA|2648|Grupo Frisa 5588544458|~|N|S|494|5470|~|~|~|~
168973|GRUPO FRISA|0|~|~|S|N|0|0|~|~|~|~
156690|Médica Santa Carmen|2510|FB-ING Médica Santa Carmen|~|N|S|14|61|~|~|~|~
156690|Médica Santa Carmen|2695|Leads Forms Web|~|N|S|21|21|~|~|~|~
156690|Médica Santa Carmen|2527|Correo Experiencia Paciente|~|N|S|11|11|~|~|~|~
156690|Médica Santa Carmen|0|~|~|S|N|0|0|~|~|~|~
76737|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|2797|LIZ|~|N|S|288|4233|~|~|~|~
76737|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|2855|FACTURACION|~|N|S|48|642|~|~|~|~
76737|CENTRO DE DIAGNOSTICO NEUROFISIOLOGICO|0|~|~|S|N|0|0|~|~|~|~
112607|HomiRent|0|~|~|S|N|0|0|~|~|~|~
177363|SIMAGASMEX|0|~|~|S|N|0|0|~|~|~|~
160191|CIME POWER SYSTEMS|0|~|~|S|N|0|0|~|~|~|~
48965|Hoteles BONITTO INN®|1132|LMS 833 454 0095|~|N|S|27|313|~|~|~|~
48965|Hoteles BONITTO INN®|1145|ARB 833 224 8883|~|N|S|29|279|~|~|~|~
48965|Hoteles BONITTO INN®|4171|LMS 800 880 7000|~|N|S|2|20|~|~|~|~
48965|Hoteles BONITTO INN®|1149|GLZ 836 273 0416|~|N|S|23|270|~|~|~|~
48965|Hoteles BONITTO INN®|1146|APT 833 132 4403|~|N|S|45|552|~|~|~|~
48965|Hoteles BONITTO INN®|1147|MTE 831 233 2842|~|N|S|37|415|~|~|~|~
48965|Hoteles BONITTO INN®|1148|MAN 836 272 0244|~|N|S|11|86|~|~|~|~
48965|Hoteles BONITTO INN®|1144|DIV 833 226 7450|~|N|S|1|13|~|~|~|~
48965|Hoteles BONITTO INN®|1150|MTY 81 2164 9000|~|N|S|45|342|~|~|~|~
48965|Hoteles BONITTO INN®|1052|LMS 800 266 4886|~|N|S|40|473|~|~|~|~
48965|Hoteles BONITTO INN®|0|~|~|S|N|0|0|~|~|~|~
155337|Kredi|3825|Elena API|~|N|S|176|1992|~|~|~|~
155337|Kredi|2651|Enrique|~|N|S|1|10|~|~|~|~
155337|Kredi|0|~|~|S|N|0|0|~|~|~|~
439|Cargo Lift|97|5555366542|API|S|N|0|0|0|0|0|ERR
439|Cargo Lift|101|19724218099|API|S|S|0|2|2|0|100|ERR
439|Cargo Lift|2861|PRUEBA CHATBOT 4424560186|API|S|N|0|0|0|0|0|ERR
166396|Pastelería Antares Chat|2431|Antares Whatsapp 4424540335|API|S|N|0|0|0|0|0|ERR
